ids,baseline,boat,dungeon
118,944.874214,794.954064,547.150888
135,747.827751,789.356383,765.312261
148,837.476056,763.998175,803.267016
166,732.995098,754.255396,702.916859
177,NA,668.215278,634.691501
185,786.860963,742.434629,688.363122
212,NA,823.283636,800.04251
270,916.291793,799.142857,674.211449
281,738.533666,691.255319,681.529642
283,592.463366,583.912052,514.844623
295,862.408309,859.40613,864.192908
312,625.045908,664.894198,578.222433
369,692.0263901,685.409253,708.434886
380,788.5718228,743.361404,678.83014
407,712.846797,721.251724,502.630435
425,658.906977,668.508591,654.672043
465,851.228873,852.56654,844.557559
491,784.572603,713.901361,712.594848
534,620.12,620.305994,572.125239
593,675.899538,684.81162,644.040169
605,762.416129,687.01461,536.577014
626,814.186246,825.472727,836.19186
638,762.358586,787.140984,789.999349
663,798.008784,885.992095,853.582633
668,685.362385,698.005,722.0172
692,834.808333,825.054945,515.7375
713,865.9045516,903.103774,873.816092
722,NA,747.56305,NA
734,860.856125,856.263359,867.136429
737,NA,825.964945,789.6518829
749,867.146018,917.038314,812.67757
771,929.6587054,899.383459,892.933681
796,842.861048,873.797834,881.7311
818,1146.396327,1212.76009,1068.360816
821,781.768852,789.947183,747.509202
822,831.238095,810.84296,873.086801
829,764.90404,742.730496,655.391819
838,829.089136,825.566176,859.848656
855,741.9136347,744.914591,737.0228693
873,1046.0189,974.166667,911.576347
877,609.353955,671.451724,646.798499
885,752.87689,807.772242,758.0059522
899,765.797327,832.683824,858.482759
902,624.991525,654.043624,657.720541
903,871.431487,872.980545,846.343533
913,855.291429,839.682836,728.275718
920,772.5863398,830.977695,745.800127
948,609.787557,677.749129,659.989142